Unnamed: 0,candidate_id,womens_rights_count,womens_rights_average_favorites,womens_rights_sum_favorites,womens_rights_average_retweets,womens_rights_sum_retweets,familycare_count,familycare_average_favorites,familycare_sum_favorites,familycare_average_retweets,familycare_sum_retweets,education_count,education_average_favorites,education_sum_favorites,education_average_retweets,education_sum_retweets,healthcare_count,healthcare_average_favorites,healthcare_sum_favorites,healthcare_average_retweets,healthcare_sum_retweets,military_count,military_average_favorites,military_sum_favorites,military_average_retweets,military_sum_retweets,economics_count,economics_average_favorites,economics_sum_favorites,economics_average_retweets,economics_sum_retweets,foreign_affairs_count,foreign_affairs_average_favorites,foreign_affairs_sum_favorites,foreign_affairs_average_retweets,foreign_affairs_sum_retweets,policing_count,policing_average_favorites,policing_sum_favorites,policing_average_retweets,policing_sum_retweets,covid_count,covid_average_favorites,covid_sum_favorites,covid_average_retweets,covid_sum_retweets,total_candidate_favorites,total_candidate_retweets,mean_candidate_favorites,mean_candidate_retweets,total_tweets,party,gender,masculine_count,feminine_count,masculine_total_engagement,feminine_total_engagement,masculine_average_engagement,feminine_average_engagement
467,1273,0,0.0,0,0.0,0,1,62.0,62,13.0,13,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1241,284,22.56363636,5.163636363999999,55,Democratic Party,Female,0,1,0,75,,75.0
468,1277,4,20.0,80,6.25,25,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2,4.0,8,1.5,3,1,5.0,5,2.0,2,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,185,54,4.8684210530000005,1.4210526319999999,38,Democratic Party,Female,3,4,18,105,6.0,26.25
469,1282,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,5.0,5,2.0,2,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,5757,1365,92.85483871,22.01612903,62,Democratic Party,Female,0,1,0,7,,7.0
470,1285,0,0.0,0,0.0,0,1,9.0,9,2.0,2,0,0.0,0,0.0,0,0,0.0,0,0.0,0,3,140.0,420,55.66666667,167,1,9.0,9,2.0,2,1,321.0,321,143.0,143,2,92.5,185,18.0,36,0,0.0,0,0.0,0,8057,1678,74.60185185,15.53703704,108,Democratic Party,Male,7,1,1283,11,183.28571430000002,11.0
471,1286,0,0.0,0,0.0,0,4,7.75,31,1.75,7,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,3.0,3,1.0,1,1,3.0,3,1.0,1,0,0.0,0,0.0,0,1,0.0,0,0.0,0,0,0.0,0,0.0,0,616,230,4.368794326000001,1.631205674,141,Democratic Party,Male,3,4,8,38,2.666666667,9.5
472,1288,0,0.0,0,0.0,0,0,0.0,0,0.0,0,2,6.0,12,1.5,3,3,13.0,39,4.333333333,13,3,14.33333333,43,4.333333333,13,3,5.333333333,16,2.0,6,0,0.0,0,0.0,0,1,20.0,20,2.0,2,0,0.0,0,0.0,0,4309,2027,42.66336634,20.06930693,101,Democratic Party,Male,7,5,100,67,14.28571429,13.4
473,1290,0,0.0,0,0.0,0,0,0.0,0,0.0,0,4,9.25,37,1.5,6,1,1.0,1,1.0,1,1,7.0,7,0.0,0,2,20.5,41,3.5,7,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1001,320,13.90277778,4.444444444,72,Democratic Party,Male,3,5,55,45,18.33333333,9.0
474,1294,1,4.0,4,0.0,0,0,0.0,0,0.0,0,4,3.75,15,0.25,1,11,9.363636364,103,3.6363636360000005,40,2,1.5,3,0.0,0,7,4.571428571,32,1.714285714,12,0,0.0,0,0.0,0,5,11.4,57,2.8,14,0,0.0,0,0.0,0,963,211,5.233695652,1.14673913,184,Democratic Party,Female,14,16,118,163,8.428571429,10.1875
475,1296,0,0.0,0,0.0,0,1,1.0,1,1.0,1,1,6.0,6,3.0,3,0,0.0,0,0.0,0,1,0.0,0,0.0,0,2,0.5,1,0.5,1,0,0.0,0,0.0,0,8,3.5,28,2.125,17,0,0.0,0,0.0,0,543,293,4.414634146,2.382113821,123,Republican Party,Male,11,2,47,11,4.272727273,5.5
476,1297,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,1,112.0,112,86.0,86,0,0.0,0,0.0,0,3,43.0,129,17.33333333,52,0,0.0,0,0.0,0,1117,707,46.54166667,29.45833333,24,Republican Party,Male,4,0,379,0,94.75,
